1850	.
1823	,
1807	the
1772	of
1771	NUMBER
1749	a
1713	and
1696	to
1664	in
1497	for
1412	's
1353	said
1328	it
1292	is
1271	from
1250	by
1245	that
1226	$
1221	on
1197	its
1174	with
1173	at
1137	was
1097	as
1095	an
1063	be
1050	``
1037	''
1033	n't
1033	has
1031	will
1006	which
981	but
966	are
956	%
955	new
952	or
903	have
900	this
892	company
885	year
879	about
812	also
789	had
778	mr.
777	were
777	more
773	he
762	would
751	other
737	been
727	up
724	than
721	they
702	corp.
656	their
637	some
632	inc.
627	last
626	first
615	who
608	because
591	all
587	when
582	after
578	years
572	market
571	stock
564	not
557	share
550	if
549	president
545	u.s.
544	--
543	could
543	co.
520	out
519	only
518	we
514	over
513	york
511	into
505	such
502	-rrb-
502	-lrb-
501	there
499	most
490	&
489	may
477	do
474	business
472	any
470	under
466	:
464	his
460	time
460	group
452	many
449	while
448	down
446	now
439	no
434	exchange
432	can
428	'
423	much
415	earlier
409	trading
409	shares
403	so
403	before
399	through
397	months
394	even
393	did
389	next
389	sales
389	what
388	chairman
387	since
383	;
383	make
382	major
379	those
379	still
376	expected
372	made
371	price
369	yesterday
368	chief
366	week
363	them
361	financial
357	companies
353	i
351	national
351	say
347	just
343	both
342	federal
342	unit
341	government
341	people
337	interest
334	off
332	executive
331	does
330	between
330	says
327	cents
324	part
323	including
322	among
321	month
321	rose
320	these
317	well
317	general
316	industry
315	ago
314	big
311	officials
309	take
307	another
306	quarter
306	however
306	during
302	recent
302	each
302	international
301	own
301	american
301	bank
297	like
295	past
293	get
292	being
291	securities
290	net
289	should
289	back
289	reported
287	against
287	according
285	prices
284	buy
283	investment
282	sell
282	several
281	based
281	income
281	end
281	concern
280	earnings
275	vice
274	plans
274	board
273	money
271	where
269	you
263	sold
263	then
262	capital
261	high
258	how
258	way
257	increase
256	sale
255	profit
255	early
254	less
254	analysts
253	investors
252	already
252	plan
251	used
250	far
250	products
248	higher
248	added
248	firm
248	least
247	very
247	markets
246	closed
245	third
245	director
244	work
243	world
243	officer
242	revenue
240	until
240	might
239	good
238	current
237	rate
236	few
236	lower
235	fell
235	average
234	report
232	use
232	offer
232	pay
231	our
227	operations
227	same
226	close
226	days
226	agreed
225	state
224	second
222	common
221	period
221	public
221	spokesman
221	day
220	move
220	without
219	held
219	today
218	friday
218	agreement
218	think
218	number
217	management
217	little
216	called
215	too
215	're
215	help
213	ended
213	late
213	though
213	oct.
212	see
212	set
211	total
211	recently
210	declined
210	continue
210	services
210	program
210	going
208	further
205	?
205	compared
205	put
203	long
203	value
203	costs
203	result
202	maker
202	results
201	trade
201	loss
200	although
200	whether
200	cash
199	strong
199	debt
199	issue
198	likely
198	service
198	system
197	foreign
197	increased
197	john
197	wo
196	large
196	largest
195	department
195	operating
194	right
194	certain
193	real
193	here
192	growth
192	announced
192	expects
192	want
191	around
191	office
191	yet
190	issues
189	give
188	half
188	street
188	cost
187	news
186	change
185	rates
185	problems
185	go
184	assets
184	home
184	come
184	small
183	making
183	buying
183	addition
181	composite
181	bid
181	despite
179	selling
179	corporate
179	weeks
178	control
177	better
177	senior
177	currently
176	robert
176	estimated
176	house
175	took
175	funds
174	become
174	old
174	cut
174	former
174	research
172	third-quarter
172	comment
172	point
172	analyst
172	drop
171	inc
171	example
171	stake
170	need
169	began
169	later
169	case
169	times
169	latest
168	level
168	holding
168	nearly
167	almost
167	economic
166	include
165	possible
164	purchase
164	future
164	gain
163	volume
163	terms
162	others
162	annual
161	support
161	line
160	july
160	sept.
160	court
160	paid
159	losses
159	decline
159	wall
158	september
158	must
158	association
158	record
158	commission
157	problem
157	following
157	tax
156	banks
156	country
155	top
155	august
155	insurance
154	within
154	development
154	law
153	systems
153	nation
153	agency
153	received
152	dollars
152	she
152	computer
152	west
152	came
152	able
152	expect
152	california
151	amount
151	previous
151	rise
150	james
150	additional
150	production
150	monday
150	once
148	stocks
148	makes
147	corp
147	industrial
147	whose
147	proposed
147	trying
146	him
145	again
145	official
144	-rcb-
144	deal
144	members
143	position
143	lot
143	things
143	japan
143	instead
143	chicago
143	british
142	-lcb-
142	businesses
142	every
142	rather
142	return
141	know
141	believe
141	power
141	administration
141	dropped
141	demand
141	dollar
140	enough
140	outstanding
140	away
140	industries
139	us
139	keep
139	action
139	soon
138	provide
138	never
138	open
138	decision
138	offering
137	due
137	san
137	reached
136	changes
136	getting
136	fall
136	ca
136	named
136	important
136	union
136	loan
136	finance
136	often
136	place
135	meanwhile
135	filed
135	charge
135	congress
135	gains
135	told
135	similar
135	city
134	acquisition
134	show
134	offered
133	division
133	available
133	credit
133	america
133	ltd.
133	taken
133	below
133	product
133	remain
132	takeover
132	continued
132	low
132	best
132	asked
132	run
131	bill
131	points
131	full
131	head
130	led
130	force
130	firms
129	treasury
129	co
129	contract
129	committee
129	potential
129	fiscal
128	commercial
128	june
128	economy
128	executives
128	meeting
128	nov.
127	order
127	clear
127	left
127	march
126	life
126	great
126	equipment
126	policy
126	financing
126	bush
126	got
126	...
126	previously
125	notes
125	washington
125	investor
125	included
125	fact
125	one
125	along
124	manager
124	trust
123	transaction
123	jones
123	either
123	given
123	europe
123	london
123	subsidiary
123	special
122	probably
122	japanese
122	saying
122	itself
122	october
121	've
121	coming
121	private
121	parent
121	particularly
120	lost
120	posted
120	health
120	customers
120	fund
119	dow
119	index
119	long-term
118	bonds
118	face
118	los
118	texas
118	related
118	reduce
117	raise
117	acquired
117	found
117	above
117	biggest
116	find
116	efforts
116	my
116	shareholders
116	proposal
116	reserve
116	remains
115	loans
115	united
115	approval
115	known
115	raised
115	effect
115	paper
114	traders
114	david
114	start
114	pressure
114	employees
114	information
114	look
114	bought
114	seeking
113	building
113	statement
113	slightly
113	local
113	data
113	political
113	marketing
113	reports
112	disclosed
112	calls
112	spending
112	having
112	william
112	year-earlier
111	question
111	includes
111	helped
111	different
111	outside
111	estate
111	ever
110	looking
110	technology
110	units
110	noted
109	levels
109	effort
109	performance
109	banking
109	turn
109	series
109	your
108	d.
108	reason
108	taking
108	begin
108	food
107	air
107	communications
107	completed
107	south
107	standard
107	equity
106	white
106	heavy
106	account
106	largely
106	consumer
106	beginning
106	area
106	tuesday
106	key
106	wants
105	plant
105	especially
105	thing
105	working
105	university
105	richard
105	francisco
104	using
104	individual
104	significant
104	defense
104	workers
103	interests
103	acquire
103	planned
103	increases
103	hit
103	impact
103	reduced
103	quickly
102	orders
102	something
102	her
102	charges
102	figures
102	hold
102	difficult
102	thought
102	hard
102	poor
102	failed
101	consider
101	domestic
101	why
101	estimates
101	j.
101	joint
100	scheduled
100	michael
100	growing
100	lead
100	process
100	calif.
100	limited
100	meet
100	concerns
100	generally
99	free
99	fourth
99	oil
